"V1","V2"
"Direct-Display-Direct-Display-Affiliate-Direct-End",5
"Direct-Display-Direct-Display-Affiliate-Social-End",3
"Direct-Display-Direct-Display-Affiliate-Display-End",28
"Direct-Display-Direct-Display-Affiliate-Paid Search-End",9
"Direct-Display-Direct-Display-Paid Search-Direct-End",58
"Direct-Display-Direct-Display-Paid Search-Social-End",94
"Direct-Display-Direct-Display-Paid Search-Display-End",359
"Direct-Display-Direct-Display-Paid Search-Affiliate-End",2
"Direct-Display-Direct-Display-Paid Search-Organic Search-End",14
"Direct-Display-Direct-Display-Organic Search-Direct-End",15
"Direct-Display-Direct-Display-Organic Search-Social-End",4
"Direct-Display-Direct-Display-Organic Search-Display-End",21
"Direct-Display-Direct-Display-Organic Search-Paid Search-End",44
"Direct-Display-Direct-Affiliate-Direct-Social-End",4
"Direct-Display-Direct-Affiliate-Direct-Display-End",5
"Direct-Display-Direct-Affiliate-Direct-Affiliate-End",5
"Direct-Display-Direct-Affiliate-Direct-Paid Search-End",7
"Direct-Display-Direct-Affiliate-Display-Direct-End",6
"Direct-Display-Direct-Affiliate-Display-Social-End",6
"Direct-Display-Direct-Affiliate-Display-Affiliate-End",4
"Direct-Display-Direct-Affiliate-Display-Paid Search-End",8
"Direct-Display-Direct-Affiliate-Display-Organic Search-End",4
"Direct-Display-Direct-Affiliate-Paid Search-Direct-End",16
"Direct-Display-Direct-Affiliate-Paid Search-Social-End",39
"Direct-Display-Direct-Affiliate-Paid Search-Display-End",7
"Direct-Display-Direct-Affiliate-Paid Search-Affiliate-End",7
"Direct-Display-Direct-Affiliate-Paid Search-Organic Search-End",9
"Direct-Display-Direct-Affiliate-Organic Search-Direct-End",2
"Direct-Display-Direct-Affiliate-Organic Search-Paid Search-End",5
"Direct-Display-Direct-Paid Search-Direct-Social-End",45
"Direct-Display-Direct-Paid Search-Direct-Display-End",53
"Direct-Display-Direct-Paid Search-Direct-Affiliate-End",16
"Direct-Display-Direct-Paid Search-Direct-Paid Search-End",185
"Direct-Display-Direct-Paid Search-Direct-Organic Search-End",15
"Direct-Display-Direct-Paid Search-Display-Direct-End",61
"Direct-Display-Direct-Paid Search-Display-Social-End",61
"Direct-Display-Direct-Paid Search-Display-Affiliate-End",10
"Direct-Display-Direct-Paid Search-Display-Paid Search-End",144
"Direct-Display-Direct-Paid Search-Display-Organic Search-End",19
"Direct-Display-Direct-Paid Search-Affiliate-Direct-End",5
"Direct-Display-Direct-Paid Search-Affiliate-Social-End",2
"Direct-Display-Direct-Paid Search-Affiliate-Display-End",4
"Direct-Display-Direct-Paid Search-Affiliate-Paid Search-End",5
"Direct-Display-Direct-Paid Search-Organic Search-Direct-End",26
"Direct-Display-Direct-Paid Search-Organic Search-Social-End",3
"Direct-Display-Direct-Paid Search-Organic Search-Display-End",2
"Direct-Display-Direct-Paid Search-Organic Search-Paid Search-End",43
"Direct-Display-Direct-Organic Search-Direct-Social-End",9
"Direct-Display-Direct-Organic Search-Direct-Display-End",7
"Direct-Display-Direct-Organic Search-Direct-Affiliate-End",4
"Direct-Display-Direct-Organic Search-Direct-Paid Search-End",22
"Direct-Display-Direct-Organic Search-Direct-Organic Search-End",4
"Direct-Display-Direct-Organic Search-Display-Direct-End",2
"Direct-Display-Direct-Organic Search-Display-Paid Search-End",3
"Direct-Display-Direct-Organic Search-Display-Organic Search-End",4
"Direct-Display-Direct-Organic Search-Affiliate-Direct-End",1
"Direct-Display-Direct-Organic Search-Paid Search-Direct-End",11
"Direct-Display-Direct-Organic Search-Paid Search-Social-End",24
"Direct-Display-Direct-Organic Search-Paid Search-Display-End",9
"Direct-Display-Direct-Organic Search-Paid Search-Affiliate-End",2
"Direct-Display-Direct-Organic Search-Paid Search-Organic Search-End",24
"Direct-Display-Organic Search-Display-Affiliate-End",4
"Direct-Display-Affiliate-Direct-Display-Direct-End",14
"Direct-Display-Affiliate-Direct-Display-Social-End",9
"Direct-Display-Affiliate-Direct-Display-Affiliate-End",7
"Direct-Display-Affiliate-Direct-Display-Paid Search-End",17
"Direct-Display-Affiliate-Direct-Display-Organic Search-End",5
